episode,total_reward,wait_time,epsilon,alpha,gamma
365,17,6,0.2,0.1,0.9
366,-48,42,0.2,0.1,0.9
367,-11,36,0.2,0.1,0.9
368,-68,36,0.2,0.1,0.9
369,-16,15,0.2,0.1,0.9
370,-217,120,0.2,0.1,0.9
371,-44,44,0.2,0.1,0.9
372,55,13,0.2,0.1,0.9
373,16,6,0.2,0.1,0.9
374,5,13,0.2,0.1,0.9
375,22,19,0.2,0.1,0.9
376,26,12,0.2,0.1,0.9
377,19,5,0.2,0.1,0.9
378,-258,119,0.2,0.1,0.9
379,-2,15,0.2,0.1,0.9
380,53,16,0.2,0.1,0.9
381,42,16,0.2,0.1,0.9
382,-10,36,0.2,0.1,0.9
383,31,10,0.2,0.1,0.9
384,42,10,0.2,0.1,0.9
385,29,33,0.2,0.1,0.9
386,1,11,0.2,0.1,0.9
387,27,5,0.2,0.1,0.9
388,19,6,0.2,0.1,0.9
389,9,20,0.2,0.1,0.9
390,7,12,0.2,0.1,0.9
391,28,5,0.2,0.1,0.9
392,30,4,0.2,0.1,0.9
393,32,16,0.2,0.1,0.9
394,-45,33,0.2,0.1,0.9
395,10,22,0.2,0.1,0.9
396,53,16,0.2,0.1,0.9
397,42,10,0.2,0.1,0.9
398,18,14,0.2,0.1,0.9
399,40,10,0.2,0.1,0.9
400,15,8,0.2,0.1,0.9
401,-282,149,0.2,0.1,0.9
402,-38,36,0.2,0.1,0.9
403,13,9,0.2,0.1,0.9
404,-3,14,0.2,0.1,0.9
405,23,9,0.2,0.1,0.9
406,31,3,0.2,0.1,0.9
407,29,9,0.2,0.1,0.9
408,32,8,0.2,0.1,0.9
409,-3,11,0.2,0.1,0.9
410,22,17,0.2,0.1,0.9
411,34,16,0.2,0.1,0.9
412,20,4,0.2,0.1,0.9
413,30,4,0.2,0.1,0.9
414,18,24,0.2,0.1,0.9
415,-23,42,0.2,0.1,0.9
416,41,9,0.2,0.1,0.9
417,0,12,0.2,0.1,0.9
418,27,7,0.2,0.1,0.9
419,-7,9,0.2,0.1,0.9
420,-120,66,0.2,0.1,0.9
421,12,10,0.2,0.1,0.9
422,27,6,0.2,0.1,0.9
423,31,3,0.2,0.1,0.9
424,-21,29,0.2,0.1,0.9
425,16,5,0.2,0.1,0.9
426,-66,54,0.2,0.1,0.9
427,-66,40,0.2,0.1,0.9
428,-14,10,0.2,0.1,0.9
429,21,19,0.2,0.1,0.9
430,-40,42,0.2,0.1,0.9
431,-31,34,0.2,0.1,0.9
432,18,5,0.2,0.1,0.9
433,25,29,0.2,0.1,0.9
434,-14,22,0.2,0.1,0.9
435,-93,73,0.2,0.1,0.9
436,38,12,0.2,0.1,0.9
437,-233,120,0.2,0.1,0.9
438,-7,39,0.2,0.1,0.9
439,31,12,0.2,0.1,0.9
440,-16,27,0.2,0.1,0.9
441,14,7,0.2,0.1,0.9
442,3,16,0.2,0.1,0.9
443,26,6,0.2,0.1,0.9
444,41,17,0.2,0.1,0.9
445,-17,10,0.2,0.1,0.9
446,53,15,0.2,0.1,0.9
447,-35,43,0.2,0.1,0.9
448,-35,37,0.2,0.1,0.9
449,21,12,0.2,0.1,0.9
450,15,7,0.2,0.1,0.9
451,37,12,0.2,0.1,0.9
452,-3,15,0.2,0.1,0.9
453,31,3,0.2,0.1,0.9
454,12,7,0.2,0.1,0.9
455,29,4,0.2,0.1,0.9
456,37,12,0.2,0.1,0.9
457,22,3,0.2,0.1,0.9
458,-4,10,0.2,0.1,0.9
459,24,14,0.2,0.1,0.9
460,24,20,0.2,0.1,0.9
461,23,8,0.2,0.1,0.9
462,42,9,0.2,0.1,0.9
463,33,2,0.2,0.1,0.9
464,-8,18,0.2,0.1,0.9
465,28,17,0.2,0.1,0.9
466,12,4,0.2,0.1,0.9
467,-12,30,0.2,0.1,0.9
468,34,24,0.2,0.1,0.9
469,23,22,0.2,0.1,0.9
470,16,8,0.2,0.1,0.9
471,12,10,0.2,0.1,0.9
472,22,10,0.2,0.1,0.9
473,20,10,0.2,0.1,0.9
474,41,9,0.2,0.1,0.9
475,42,8,0.2,0.1,0.9
476,18,8,0.2,0.1,0.9
477,25,13,0.2,0.1,0.9
478,44,8,0.2,0.1,0.9
479,9,6,0.2,0.1,0.9
480,39,12,0.2,0.1,0.9
481,49,19,0.2,0.1,0.9
482,2,14,0.2,0.1,0.9
483,-3,8,0.2,0.1,0.9
484,10,21,0.2,0.1,0.9
485,34,22,0.2,0.1,0.9
486,26,14,0.2,0.1,0.9
487,21,10,0.2,0.1,0.9
488,16,7,0.2,0.1,0.9
489,31,12,0.2,0.1,0.9
490,36,14,0.2,0.1,0.9
491,23,9,0.2,0.1,0.9
492,43,15,0.2,0.1,0.9
493,-11,15,0.2,0.1,0.9
494,27,6,0.2,0.1,0.9
495,27,5,0.2,0.1,0.9
496,40,18,0.2,0.1,0.9
497,12,4,0.2,0.1,0.9
498,44,7,0.2,0.1,0.9
499,66,20,0.2,0.1,0.9
500,-12,27,0.2,0.1,0.9
501,25,7,0.2,0.1,0.9
502,39,12,0.2,0.1,0.9
503,31,9,0.2,0.1,0.9
504,53,15,0.2,0.1,0.9
505,41,19,0.2,0.1,0.9
506,30,4,0.2,0.1,0.9
507,13,15,0.2,0.1,0.9
508,10,12,0.2,0.1,0.9
509,-1,12,0.2,0.1,0.9
510,25,13,0.2,0.1,0.9
511,12,11,0.2,0.1,0.9
512,33,2,0.2,0.1,0.9
513,-81,66,0.2,0.1,0.9
514,20,12,0.2,0.1,0.9
515,-63,24,0.2,0.1,0.9
516,40,10,0.2,0.1,0.9
517,16,26,0.2,0.1,0.9
518,-18,22,0.2,0.1,0.9
